Code,Info,Hospital Outpatient Price
11470,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with simple or intermediate repair (11470)",$597
11471,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with complex repair (11471)",$610
11600,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less (11600)",
11601,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.6 to 1.0 cm (11601)",$163
11602,No Information Found,$106
11603,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm (11603)",$171
11604,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 3.1 to 4.0 cm (11604)",$175
11606,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm (11606)",$369
11620,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less (11620)",
11621,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm (11621)",$163
11622,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm (11622)",$167
11623,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm (11623)",
11624,No Information Found,$354
11626,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm (11626)",$597
11640,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm (11642)
Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm (11643)
Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.6 to 1.0 cm (11641)
Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm (11644)
Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm (11646)
Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.5 cm or less (11640)",$null
11641,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.6 to 1.0 cm (11641)",$164
11642,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm (11642)",$169
11643,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm (11643)",
11644,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm (11644)",$363
11646,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm (11646)",$617
11750,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal (11750)",$95
11755,"Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure) (11755)",
11760,Repair of nail bed (11760),
11762,Reconstruction of nail bed with graft (11762),
11770,Excision of pilonidal cyst or sinus; simple (11770),$577
11771,Excision of pilonidal cyst or sinus; extensive (11771),$630
11772,Excision of pilonidal cyst or sinus; complicated (11772),$655
11900,"Replacement of tissue expander with permanent implant (11970)
Ostectomy, calcaneus; for spur, with or without plantar fascial release (28119)
Insertion of tissue expander(s) for other than breast, including subsequent expansion (11960)
Removal of tissue expander without insertion of implant (11971)
Synovectomy, extensor tendon sheath, wrist, single compartment; with resection of distal ulna (25119)
Subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc (11951)
Subcutaneous injection of filling material (eg, collagen); 1 cc or less (11950)
Osteotomy, mandible, segmental; (21198)
Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.1 to 20.0 sq cm (11921)
Subcutaneous injection of filling material (eg, collagen); over 10.0 cc (11954)
Subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc (11952)
Removal, implantable contraceptive capsules (11976)
Osteotomy, mandible, segmental; with genioglossus advancement (21199)
Reconstruction of mandibular rami, horizontal, vertical, c, or l osteotomy; with bone graft (includes obtaining graft) (21194)
Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.0 sq cm or less (11920)
Reconstruction of mandibular rami and/or body, sagittal split; without internal rigid fixation (21195)",$null
11960,"Insertion of tissue expander(s) for other than breast, including subsequent expansion (11960)",$883
11970,Replacement of tissue expander with permanent implant (11970),"$1,474"
11971,Removal of tissue expander without insertion of implant (11971),$650
12005,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm (12005)",$93
12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm (12006)",$97
12007,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm (12007)",$66
12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm (12015)",$56
12016,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm (12016)",$99
12017,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm (12017)",$105
12018,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm (12018)",$71
12020,Treatment of superficial wound dehiscence; simple closure (12020),$156
12021,Treatment of superficial wound dehiscence; with packing (12021),$102
12031,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less (12031)",$104
12032,No Information Found,$112
12034,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm (12034)",$null
12035,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm (12035)",$122
12036,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 20.1 cm to 30.0 cm (12036)",$174
12037,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); over 30.0 cm (12037)",$411
12041,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less (12041)",$103
12042,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm (12042)",$113
12044,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm (12044)",$null
12045,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm (12045)",$172
12046,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 20.1 cm to 30.0 cm (12046)",$181
12047,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; over 30.0 cm (12047)",$416
12051,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less (12051)",$108
12052,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm (12052)",$114
12053,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm (12053)",$117
12054,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm (12054)",$118
12055,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm (12055)",$134
12056,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm (12056)",$150
12057,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm (12057)",$157
13100,"Repair, complex, trunk; 1.1 cm to 2.5 cm (13100)",$158
13101,"Repair, complex, trunk; 2.6 cm to 7.5 cm (13101)",$167
13120,"Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm (13120)",$164
13121,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm (13121)",$169
13131,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm (13131)",$null
13132,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm (13132)",$177
13151,"Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm (13151)",$null
13152,"Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm (13152)",$null
13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated (13160)",$null
14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less (14000)",$446
14001,No Information Found,$475
14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less (14020)",$458
14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm (14021)",$486
14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less (14040)",$469
14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm (14041)",$null
14060,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less (14060)",$477
14061,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm (14061)",$507
14301,"Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm (14301)",$853
14302,"Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm (14301)",$null
14350,"Filleted finger or toe flap, including preparation of recipient site (14350)",$479
15002,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; first 100 sq cm or 1% of body area of infants and children (15002)",$389
15004,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; first 100 sq cm or 1% of body area of infants and children (15004)",$169
15050,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050) (15120)
Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (except 15050) (15100)
Pinch graft, single or multiple, to cover small ulcer, tip of digit, or other minimal open area (except on face), up to defect size 2 cm diameter (15050)",$209
15100,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050) (15120)
Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (except 15050) (15100)
Pinch graft, single or multiple, to cover small ulcer, tip of digit, or other minimal open area (except on face), up to defect size 2 cm diameter (15050)",$487
15110,"Epidermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (15110)",$487
15115,"Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (15115)",$483
15120,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050) (15120)",$null
15130,"Dermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (15130)",$464
15135,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (15135)",$831
15150,"Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less (15150)",$473
15155,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 25 sq cm or less (15155)",$826
15200,"Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less (15200)",$479
15220,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less (15220)",$467
15240,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less (15240)",$503
15260,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less (15260)",$513
15271,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area (15271)",$363
15273,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children (15273)",$720
15275,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area (15275)",
15277,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children (15277)",$null
15570,"Formation of direct or tubed pedicle, with or without transfer; trunk (15570)",$490
15572,"Formation of direct or tubed pedicle, with or without transfer; scalp, arms, or legs (15572)",$828
15574,"Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet (15574)",$492
15576,"Formation of direct or tubed pedicle, with or without transfer; eyelids, nose, ears, lips, or intraoral (15576)",$474
15600,Delay of flap or sectioning of flap (division and inset); at trunk (15600),$725
15610,"Delay of flap or sectioning of flap (division and inset); at scalp, arms, or legs (15610)",$395
15620,"Delay of flap or sectioning of flap (division and inset); at forehead, cheeks, chin, neck, axillae, genitalia, hands, or feet (15620)",$411
15630,"Delay of flap or sectioning of flap (division and inset); at eyelids, nose, ears, or lips (15630)",$414
15650,"Transfer, intermediate, of any pedicle flap (eg, abdomen to wrist, walking tube), any location (15650)",$426
15730,"Midface flap (ie, zygomaticofacial flap) with preservation of vascular pedicle(s) (15730)",$862
15731,"Forehead flap with preservation of vascular pedicle (eg, axial pattern flap, paramedian forehead flap) (15731)",$878
15733,"Muscle, myocutaneous, or fasciocutaneous flap; head and neck with named vascular pedicle (ie, buccinators, genioglossus, temporalis, masseter, sternocleidomastoid, levator scapulae) (15733)",$885
15734,"Muscle, myocutaneous, or fasciocutaneous flap; trunk (15734)",$977
15736,"Muscle, myocutaneous, or fasciocutaneous flap; upper extremity (15736)",$null
15738,"Muscle, myocutaneous, or fasciocutaneous flap; lower extremity (15738)",$931
15740,Flap; island pedicle requiring identification and dissection of an anatomically named axial vessel (15740),$512
15750,"Laryngoscopy, flexible; diagnostic (31575)
Flap; neurovascular pedicle (15750)",$867
15760,"Graft; composite (eg, full thickness of external ear or nasal ala), including primary closure, donor area (15760)",$484
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia) (15769)",$777
15770,Graft; derma-fat-fascia (15770),$816
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate (15771)",$784
15773,"Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, neck, ears, orbits, genitalia, hands, and/or feet; 25 cc or less injectate (15773)",$445
15777,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate (15771)
Graft; derma-fat-fascia (15770)
Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, neck, ears, orbits, genitalia, hands, and/or feet; 25 cc or less injectate (15773)
Punch graft for hair transplant; more than 15 punch grafts (15776)
Laryngoscopy, flexible; with removal of foreign body(s) (31577)
Punch graft for hair transplant; 1 to 15 punch grafts (15775)",$null
15780,"Dermabrasion; total face (eg, for acne scarring, fine wrinkling, rhytids, general keratosis) (15780)",$671
15781,"Dermabrasion; segmental, face (15781)",$218
15782,"Dermabrasion; regional, other than face (15782)",
15783,"Dermabrasion; superficial, any site (eg, tattoo removal) (15783)",$145
15819,Cervicoplasty (15819),$504
15820,"Blepharoplasty, lower eyelid; (15820)",$null
15821,"Blepharoplasty, lower eyelid; with extensive herniated fat pad (15821)",$455
15822,"Blepharoplasty, upper eyelid; (15822)",$425
15823,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid (15823)",$455
15832,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); thigh (15832)",$722
15833,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); leg (15833)",$713
15834,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); hip (15834)",$716
15835,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); buttock (15835)",$724
15836,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); arm (15836)",$698
15837,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); forearm or hand (15837)",$682
15838,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); submental fat pad (15838)",$669
15839,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); other area (15839)",$null
15840,Graft for facial nerve paralysis; free fascia graft (including obtaining fascia) (15840),$881
15841,Graft for facial nerve paralysis; free muscle graft (including obtaining graft) (15841),"$1,031"
15842,Graft for facial nerve paralysis; free muscle flap by microsurgical technique (15842),$874
15845,Graft for facial nerve paralysis; regional muscle transfer (15845),$892
15851,"Removal of sutures or staples requiring anesthesia (ie, general anesthesia, moderate sedation) (15851)",
15920,"Excision, coccygeal pressure ulcer, with coccygectomy; with primary suture (15920)",$665
15922,"Excision, coccygeal pressure ulcer, with coccygectomy; with flap closure (15922)",$840
15931,"Excision, sacral pressure ulcer, with primary suture; (15931)",$680
15933,"Excision, sacral pressure ulcer, with primary suture; with ostectomy (15933)",$713
15934,"Excision, sacral pressure ulcer, with skin flap closure; (15934)",$876
15935,"Excision, sacral pressure ulcer, with skin flap closure; with ostectomy (15935)",$910
15936,"Excision, sacral pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure; (15936)",$523
15937,"Excision, sacral pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure; with ostectomy (15937)",$550
15940,"Excision, ischial pressure ulcer, with primary suture; (15940)",$681
15941,"Excision, ischial pressure ulcer, with primary suture; with ostectomy (ischiectomy) (15941)",$723
15944,"Excision, ischial pressure ulcer, with skin flap closure; (15944)",$867
15945,"Excision, ischial pressure ulcer, with skin flap closure; with ostectomy (15945)",$548
15946,"Excision, ischial pressure ulcer, with ostectomy, in preparation for muscle or myocutaneous flap or skin graft closure (15946)",$663
15950,"Excision, trochanteric pressure ulcer, with primary suture; (15950)",$433
15951,"Excision, trochanteric pressure ulcer, with primary suture; with ostectomy (15951)",$718
15952,"Excision, trochanteric pressure ulcer, with skin flap closure; (15952)",$527
15953,"Excision, trochanteric pressure ulcer, with skin flap closure; with ostectomy (15953)",$881
15956,"Excision, trochanteric pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure; (15956)",$580
15958,"Excision, trochanteric pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure; with ostectomy (15958)",$914
16025,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; medium (eg, whole face or whole extremity, or 5% to 10% total body surface area) (16025)",$null
16030,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; large (eg, more than 1 extremity, or greater than 10% total body surface area) (16030)",$100
16035,Escharotomy; initial incision (16035),$113
17004,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses), 15 or more lesions (17004)",$94
17106,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); less than 10 sq cm (17106)",$129
17107,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); 10.0 to 50.0 sq cm (17107)",$189
17108,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); 10.0 to 50.0 sq cm (17107)",$450
17264,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 3.1 to 4.0 cm (17264)",$100
17266,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter over 4.0 cm (17266)",$104
17270,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less (17270)",$56
17271,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm (17271)",$58
17273,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm (17273)",$101
17274,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm (17274)",$107
17276,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm (17276)",$null
